id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx
,,Orietur sicut sol salvator mundi et ,004195,,,,A-VOR Cod. 259/I,,069r,,,,feast_1765,genre_a,office_v,,,,Orietur sicut sol salvator mundi et ,,1---g--gd--77fg--ghg---f--gh---h---f--h--hk---gh--7g---f---g--h--g---f---g--fe--d---f--7f--df---c--d---fg--gf---h--hk---hg--f---gh--h--g--g---4---k---k---kj---k---h---g---5,,,
,,Orietur sicut sol salvator mundi et ,004195,,,,CZ-HKm II A 4,,027v,,,,feast_1765,genre_a,office_v,,,,Orietur sicut sol salvator mundi et ,,1---g--gd--fg--ghg---f--gh---hjh---f--h--hk---gh--g---f---g--7h--g---f---g--fe--d---f--f--df---c--d---fg--gf---h--hk---7hg--f---gh--h--g--g---4---k---k---j---k---h---g---5,,,
,,Orietur sicut sol salvator mundi et ,004195,,,,CZ-OLu M IV 6,2,011r,,,,feast_1765,genre_a,office_l,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut ymber super gramen alleluia,,1---g--gd--fg--ghg---7f--ghg---h---f--h--k---gh--g---f---ghg--h--g---f---g--fe--d---7f--fe--d-e-f---c--d---fg--f---h--k---h--gf---gh--h--g--g---4---k---k---j---k---h---g---5,,,
,,Orietur sicut sol salvator mundi et ,004195,,,,CZ-Pu I D 20,1,014r,,,,feast_1765,genre_a,office_v,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut ymber super gramen alleluia,,1---g--gd--fg--ghg---f--ghg---h---f--h--k---gh--g---f---g--h--g---f---g--fe--d---f--f--fg---c--d---7fg--gf---h--k---hg--f---3gh--h--g--g---5,,,
,,Orietur sicut sol salvator mundi*,004195,,,,CZ-PLm 504 C 004,4,009v,,,,feast_1765,genre_a,office_v,,,,Orietur sicut sol salvator mundi*,,1---g--gd--fg--ghg---f--gh---7h---f--h--hk---gh--g---5,,,
,,Orietur sicut sol salvator noster et ,004195,,,,CZ-Pn XV A 10,,040v,,,,feast_1765,genre_a,office_v,,,,Orietur sicut sol salvator noster et ,,1---g--gd--fg--ghg---f--gh---h---f--h--hk---gh--g---f---7g--h--g---f---g--fe--d---f--f--df---c--d---fg--gf---h--hk---hg--f---gh--h--g--g---5,,,
,,Orietur sicut sol salvator,004195,*,,,CDN-Mlr 111,B,016,,,,feast_1765,genre_a,office_l,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia,,1---g--gd--fg--ghg777---3,,,
,,Orietur sicut sol salvator,004195,8,,,A-Wn 1799**,B,016r,,,,feast_1765,genre_a,office_l,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia,,1---g--gd--fg--gh-hg---f--ghg---h---f--h--kj---gh--g---f---g--h--g---f---g--fe--d---f7--f--df---c--d---fg--gf---h--hk---hg--f---gh--h--g--g---4---k--k--j--k--h--g---3,,,
,,Orietur sicut sol salvator,004195,8,,,CDN-Hsmu M2149.L4,B,030v,,,,feast_1765,genre_a,office_l,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia,,1---g--gd--fg--gh-hg---f--ghg---h---f--h--kj---gh--g---f---g--h7--g---f---g--fe--d---f--f--df---c--d---fg--gf---h--hk---jh7--f---gh--h--g--g---4---k--k--j--k--h--g---3,,,
,,Orietur sicut sol salvator,004195,8,,,CH-E 611,4,017r,,,,feast_1765,genre_a,office_v2,,,,Orietur sicut sol salvator mundi et descendet in uterum virginis sicut imber super gramen alleluia,,1---g--gd--fg--ghg---f--gh---h---f--h--hk---ghg--g---f---g--h--g---f---g--fe--d7---f--f--df---c--d---fg--gf---h--hkj---hg--f---gh--h--g--g---4---k--k--j--k--h--g---3,,,
