id,corpus_id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes,dataset_name,dataset_idx
,,Iudea et Ierusalem nolite timere cras ,003511,,,,CZ-Pn XV A 10,,040v,,,,feast_1765,genre_a,office_v,,,,Iudea et Ierusalem nolite timere cras ,,g--g--g-f-e-d---f---f--gh--h--g---g--g--hk---g--gh-g-f--f---kj---h--hk--j--k--hg--g---g---gh--fe--d---f--gh---h--g--g-f-e-d---e--fg--g--g,,,
,,Iudea et Ierusalem nolite timere cras ,605019,,,,CZ-Pu I D 20,5,014r,,,,feast_1765,genre_r,office_v,,,,Iudea et Ierusalem nolite timere cras egrediemini et dominus erit vobiscum,,fe--df--f---f---f--fe--df--e-f-ghd-efe---d-ef--g-f-e--de-ce-fg---f--ghghe--fe---d-ef---g--fe--dh--hk--h--h---h---h-g-e-f-e-d-f-gh--gh--h---h-g-e-f-d-cd-de-fg-f-e-de-egh-g-h-g-f-g-f-e-d-h-g-fg--g-f-e---df--egf-eg--gf,,,
,,Iudea et Ierusalem nolite timere cras ,605019,,,,CZ-Pu XVII E 1,1,026r,,,,feast_1765,genre_r,office_v,,,,Iudea et Ierusalem nolite timere cras egrediemini et dominus erit vobiscum,,fe--de--e---e---e--fe--df--e-ghd-fe---ce--ggfe-de--c-e-fg---f--ghgh--fe---de---g--fe--dh--hk--h--h---h---hg-ef-e-d-f-gh--gh--h---h-g-fg--fe---df--egef--fe,,,
,,Iudea et Iherusalem nolite timere cras ,003511,,,,A-VOR Cod. 259/I,,069r,,,,feast_1765,genre_a,office_v,,,,Iudea et Iherusalem nolite timere cras ,,g--g--g-f-e-d---f---f--gh--h--g---g--g--hk---g--gh-g-f--f---kh---g--hl--j--kj--hg--g---g---gh--gf--d---f--gh---h--g--g-f-e-d---e--fg--g--g,,,
,,Iudea et Iherusalem nolite timere cras ,003511,,,,CZ-HKm II A 4,,027r,,,,feast_1765,genre_a,office_v,,,,Iudea et Iherusalem nolite timere cras ,,g--g--g-f-e-d---f---f--gh--h--g---g--g--hk---g--h-g-f--f---kj---h--hl--j--kj--hg--g---g---gh--fe--d---f--gh---h--g--gg-f-e-d---e--fg--g--g,,,
,,Iudea et Iherusalem nolite timere cras ,003511,,,,CZ-Pu XVII E 1,1,025v,,,,feast_1765,genre_a,office_v,,,,Iudea et Iherusalem nolite timere cras egrediemini et dominus erit vobiscum alleluia,,g--g--g-f-e-d---f---f--gh--h--g---g--g--hk---g--h-g-f--f---kj---h--hl--j--kj--hg--g---g---gh--fe--d---f--gh---h--g--g-f-ed---e--fg--g--g,,,
,,Iudea et Iherusalem nolite timere cras ,605019,,,,A-VOR Cod. 259/I,,071r,,,,feast_1765,genre_r,office_v,,,,Iudea et Iherusalem nolite timere cras ,,fe--de--e---e---e--fe--df--eghd-fe---ce--g-f-e--de-ce-fg---f--ghgh--fe,,,
,,Iudea et Iherusalem nolite timere cras ,605019,,,,CZ-HKm II A 4,,027v,,,,feast_1765,genre_r,office_v,,,,Iudea et Iherusalem nolite timere cras ,,fe--de--e---e---e--fe--df--eg-hdfe---ce-g--g-f-e-dec--e-f-g---f--ghgh--fe---de---g--fe--dh--hk--h--h---h---hg-ef-e-d-f-gh--gh--hh---g-f-ef--ed---ce--dfde--ed,,,
,,Judaea et Jerusalem nolite timere cras ,605019,,,,CZ-Pn XV A 10,,040v,,,,feast_1765,genre_r,office_v,,,,Judaea et Jerusalem nolite timere cras ,,fe--de--e---f---f--fe--df--e-f-ghdfe---ce--gfe--de-ce-fg---f--ghgh--fe---de---g--fe--dh--hk--h--h---h---hg-ef-e-d-f--gh-gh--h---hh-g-e-f-d-cd-df-g-f-e-df-f-g-hf-g-f-e-d-hfg--gf---df--egef--fe,,,
,,Judaea et Jerusalem nolite,003511,*,,,I-Ac 693,1,015v,,,,feast_1765,genre_a,office_l,,,,Judaea et Jerusalem nolite timere cras egrediemini et dominus erit vobiscum alleluia,,,,,
